,Unnamed: 0,id,EVENTMSGTYPE,x,y,z,game_clock,rankc
12282,539991,0021500381_241,2,7.7945,28.18004,9.19225,498.64,54
12283,540054,0021500381_249,2,14.82841,36.609559999999995,8.1955,386.26,63
12284,540085,0021500381_26,1,5.20285,25.205289999999998,9.19341,503.98,31
12285,540137,0021500381_30,2,6.11751,18.468220000000002,9.1517,466.07,52
12286,540189,0021500381_33,2,9.2986,24.84389,9.08637,447.22,52
12287,540240,0021500381_46,2,5.36416,20.167360000000002,9.5742,320.51,51
12288,540286,0021500381_50,2,7.68345,27.0143,9.21465,269.69,46
12289,540340,0021500381_61,2,6.22369,28.5762,9.18505,182.58,54
12290,540372,0021500381_66,1,5.254230000000001,24.94445,9.29035,149.5,32
12291,540408,0021500381_68,1,4.89352,23.948339999999998,9.06466,132.4,36
12292,540459,0021500381_69,2,11.32514,18.17764,9.24649,122.62,51
12293,540487,0021500381_71,1,5.15296,25.05707,9.56458,105.92,28
12294,540520,0021500381_8,1,5.45938,24.86587,9.16499,653.11,33
12295,540563,0021500381_85,2,11.17788,24.02848,9.24589,670.84,43
12296,540621,0021500381_87,2,7.463369999999999,19.99129,9.1859,661.24,58
12297,540674,0021500381_94,2,7.79305,27.022890000000004,9.14066,553.03,53
12298,540718,0021500382_110,2,7.7197,20.907529999999998,9.06942,138.03,44
12299,540751,0021500382_112,2,5.05729,25.33081,9.18297,132.19,33
12300,540781,0021500382_133,1,5.6317900000000005,25.39261,9.14285,571.74,30
12301,540848,0021500382_144,2,9.26729,23.948439999999998,9.17021,457.33,67
12302,540882,0021500382_164,2,4.93162,21.404410000000002,9.00601,233.52,34
12303,540914,0021500382_17,1,5.15815,24.58138,9.53997,562.54,32
12304,540949,0021500382_180,1,5.28702,25.12748,9.05584,42.52,35
12305,540984,0021500382_184,1,5.5061,25.08588,9.359160000000001,3.13,35
12306,541035,0021500382_186,2,5.955830000000001,22.71967,9.29172,695.65,51
12307,541071,0021500382_193,1,5.11369,24.06129,9.05171,611.53,36
12308,541121,0021500382_199,2,11.25041,23.79326,9.50285,542.37,50
12309,541147,0021500382_205,1,5.55589,24.95872,9.96762,443.8,26
12310,541194,0021500382_225,2,5.60544,32.11005,9.32639,195.44,47
12311,541228,0021500382_227,1,4.96695,25.026889999999998,9.3418,154.2,34
12312,541266,0021500382_230,1,4.05055,26.093320000000002,9.0718,104.26,38
12313,541310,0021500382_232,2,4.82335,16.37425,9.05338,61.77,44
12314,541343,0021500382_235,1,5.1529,25.434089999999998,9.47133,36.92,33
12315,541398,0021500382_3,2,6.97162,30.829590000000003,9.13585,681.4,55
12316,541453,0021500382_38,2,7.900460000000001,22.70755,9.16087,296.96,55
12317,541489,0021500382_56,1,4.8551,25.30014,9.077960000000001,29.14,36
12318,541558,0021500382_60,2,26.91595,26.95999,8.72204,687.91,69
12319,541613,0021500382_85,2,3.5627199999999997,31.44387,9.38054,455.52,55
12320,541681,0021500382_94,2,25.34395,20.053539999999998,8.64357,364.34,68
12321,541740,0021500382_95,2,8.5551,27.183290000000003,10.453380000000001,353.81,59
12322,541790,0021500382_96,2,8.221160000000001,17.98154,9.02875,335.73,50
12323,541826,0021500383_10,1,4.65716,25.04465,9.171,590.33,36
12324,541873,0021500383_102,2,8.03065,26.811429999999998,9.04443,265.57,47
12325,541912,0021500383_104,1,5.6279,23.96929,9.06418,243.25,39
12326,541982,0021500383_107,2,5.49675,28.20222,9.31027,195.4,70
12327,542017,0021500383_109,1,5.0570900000000005,25.36797,9.343060000000001,161.77,35
12328,542084,0021500383_116,2,7.821339999999999,19.11694,9.3293,82.35,67
12329,542124,0021500383_119,1,6.09436,25.3338,9.017719999999999,53.3,40
12330,542177,0021500383_121,2,8.36837,26.2252,9.28974,30.28,53
12331,542231,0021500383_122,2,8.87013,25.18938,9.05405,6.88,54
12332,542264,0021500383_125,1,4.53737,25.954720000000002,9.01335,704.93,33
12333,542317,0021500383_131,2,9.16982,21.0096,9.27183,625.65,53
12334,542368,0021500383_132,2,7.66118,29.416909999999998,9.38989,616.48,51
12335,542415,0021500383_138,2,8.09845,26.502740000000003,9.26615,571.55,47
12336,542450,0021500383_140,2,11.35399,25.52255,9.50809,540.3,35
12337,542482,0021500383_141,2,6.29253,24.67403,9.315010000000001,528.27,32
12338,542540,0021500383_146,2,2.06628,21.00078,9.34907,477.22,58
12339,542590,0021500383_149,2,12.21255,24.96732,9.00516,434.31,50
12340,542640,0021500383_152,2,4.87186,22.01333,9.32819,403.12,50
12341,542725,0021500383_17,2,5.58531,30.1122,9.35752,515.44,85
12342,542784,0021500383_170,2,6.011369999999999,23.83491,9.31789,178.24,59
12343,542829,0021500383_174,2,6.4332199999999995,27.582959999999996,9.19627,145.36,45
12344,542869,0021500383_197,1,4.54223,26.13485,9.013710000000001,611.44,40
12345,542919,0021500383_207,2,5.34088,28.721790000000002,9.05175,501.36,50
12346,542953,0021500383_222,2,8.288039999999999,21.759439999999998,9.14086,328.58,34
12347,542992,0021500383_230,1,5.56677,24.54649,9.10495,213.83,39
12348,543032,0021500383_233,2,4.61139,29.43245,9.67141,165.0,40
12349,543091,0021500383_238,2,8.04068,22.8948,9.52308,108.94,59
12350,543151,0021500383_241,2,5.161580000000001,20.32798,9.10469,79.92,60
12351,543189,0021500383_36,1,5.26671,25.48109,9.07923,303.11,38
12352,543231,0021500383_4,1,6.19384,25.89038,9.16271,684.79,42
12353,543274,0021500383_43,2,4.57726,26.455059999999996,9.10404,224.1,43
12354,543322,0021500383_46,2,7.02415,19.89544,9.32088,197.96,48
12355,543378,0021500383_47,2,8.6354,23.26652,9.05429,191.1,56
12356,543399,0021500383_48,2,10.86134,24.44859,9.14904,187.21,21
12357,543443,0021500383_49,2,13.29236,21.69211,9.29395,163.12,44
12358,543494,0021500383_50,2,5.32423,30.52445,9.40133,145.63,51
12359,543544,0021500383_52,2,6.4814,27.18123,9.19886,122.57,50
12360,543588,0021500383_55,2,7.424930000000001,28.924390000000002,9.04738,99.12,44
12361,543625,0021500383_57,2,4.721019999999999,23.52185,9.25415,80.64,37
12362,543663,0021500383_6,1,5.06185,25.20346,9.252369999999999,643.57,38
12363,543700,0021500383_66,1,5.62597,25.01879,9.01384,674.17,37
12364,543733,0021500383_69,1,4.66451,25.14037,9.564169999999999,650.43,33
12365,543767,0021500383_7,1,5.36892,24.79551,9.55011,627.97,34
12366,543817,0021500383_73,2,1.33843,34.18319,8.599219999999999,599.7,50
12367,543869,0021500383_75,2,7.74008,35.04978,8.65628,577.72,52
12368,543927,0021500383_79,2,11.49664,20.46762,9.086310000000001,533.25,58
12369,543982,0021500383_8,2,11.62903,28.05265,9.01042,613.3,55
12370,544029,0021500383_80,2,6.38356,22.928739999999998,9.55621,528.76,47
12371,544065,0021500383_88,2,8.47812,24.6667,9.03502,462.41,36
12372,544115,0021500383_90,2,6.69767,26.47297,9.29376,426.76,50
12373,544159,0021500383_98,2,6.3151,14.479339999999999,8.80012,313.9,44
12374,544198,0021500384_100,1,5.5742199999999995,24.706129999999998,9.0661,536.79,39
12375,544247,0021500384_106,2,8.610710000000001,25.18808,9.18556,479.77,49
12376,544286,0021500384_109,2,8.474169999999999,31.53937,9.23201,451.62,39
12377,544333,0021500384_135,2,8.157789999999999,23.53663,9.03593,37.07,47
12378,544357,0021500384_136,2,10.81672,23.30208,9.47913,29.91,24
12379,544387,0021500384_143,2,5.09016,24.80581,10.09066,622.57,30
12380,544438,0021500384_146,2,14.15665,20.04274,8.81643,540.45,51
12381,544476,0021500384_16,1,5.92834,25.29208,9.047139999999999,457.9,38
12382,544533,0021500384_160,2,7.66852,15.91666,9.331719999999999,340.86,57
12383,544563,0021500384_162,2,6.27715,24.631429999999998,9.27385,322.28,30
12384,544617,0021500384_168,2,7.105860000000001,24.51466,9.15652,264.59,54
12385,544664,0021500384_169,2,5.844869999999999,20.53824,9.06227,241.39,47
12386,544722,0021500384_170,2,7.8173,27.79382,9.31061,224.11,58
12387,544755,0021500384_176,1,5.4553400000000005,25.77721,9.0083,104.52,33
12388,544789,0021500384_177,1,5.4581,24.84992,9.21527,94.57,34
12389,544839,0021500384_18,2,2.9536,17.3022,9.15318,433.02,50
12390,544876,0021500384_2,1,5.6157900000000005,24.80767,9.24025,653.34,37
12391,544910,0021500384_22,1,5.20329,25.01365,9.24625,401.55,34
12392,544964,0021500384_27,2,5.4985800000000005,22.86975,9.25189,305.26,54
12393,545043,0021500384_28,2,16.88229,18.84358,8.905569999999999,295.06,79
12394,545077,0021500384_3,1,5.03835,24.87951,9.25141,628.01,34
12395,545129,0021500384_34,2,8.27592,24.26901,9.10109,234.38,52
12396,545166,0021500384_36,1,5.74083,25.4914,9.13345,199.7,37
12397,545223,0021500384_38,2,8.41877,24.50486,9.15361,167.75,57
12398,545257,0021500384_41,1,4.90455,24.895129999999998,9.35297,84.74,34
12399,545306,0021500384_57,2,7.460610000000001,27.801209999999998,9.48518,551.89,49
12400,545358,0021500384_64,2,14.35345,30.66092,8.93943,436.92,52
12401,545397,0021500384_7,1,5.30472,25.56075,9.0099,593.25,39
